Title,Date,Link
News,N/A,https://www.bbc.com/news
US & Canada,N/A,https://www.bbc.com/news/us-canada
UK,N/A,https://www.bbc.com/news/uk
Africa,N/A,https://www.bbc.com/news/world/africa
Asia,N/A,https://www.bbc.com/news/world/asia
Australia,N/A,https://www.bbc.com/news/world/australia
Europe,N/A,https://www.bbc.com/news/world/europe
Latin America,N/A,https://www.bbc.com/news/world/latin_america
Middle East,N/A,https://www.bbc.com/news/world/middle_east
In Pictures,N/A,https://www.bbc.com/news/in_pictures
BBC InDepth,N/A,https://www.bbc.com/news/bbcindepth
BBC Verify,N/A,https://www.bbc.com/news/bbcverify
UK Politics,N/A,https://www.bbc.com/news/politics
England,N/A,https://www.bbc.com/news/england
N. Ireland,N/A,https://www.bbc.com/news/northern_ireland
N. Ireland Politics,N/A,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
Scotland,N/A,https://www.bbc.com/news/scotland
Scotland Politics,N/A,https://www.bbc.com/news/scotland/scotland_politics
Wales,N/A,https://www.bbc.com/news/wales
Wales Politics,N/A,https://www.bbc.com/news/wales/wales_politics
China,N/A,https://www.bbc.com/news/world/asia/china
India,N/A,https://www.bbc.com/news/world/asia/india
Live News,N/A,https://www.bbc.com/live/news
Newsletters,N/A,https://www.bbc.com/newsletters
LIVEPakistan strikes Kabul and Kandahar as Afghan Taliban escalate cross-border attacksPakistan's defence minister declares 'open war' with Taliban after Islamabad says two of its soldiers were killed.,N/A,https://www.bbc.com/news/live/czx4pq9xe6rt
Hillary Clinton tells House panel she 'had no idea' of Epstein's crimesThe ex-secretary of state called for President Trump to be questioned under oath about his past association with the sex offender.1 hr agoUS & Canada,N/A,https://www.bbc.com/news/articles/cd6z3e1vdvzo
"American citizen among those killed in Cuba boat shooting, US official saysCuba has accused those on board of planning ""an infiltration with terrorist aims” and firing first.2 hrs agoWorld",N/A,https://www.bbc.com/news/articles/c80j3rlp904o
"Remains found in Tasmania most likely belong to missing Belgian backpacker Celine Cremer, 31, disappeared after going on a hike in a rainforest in June 20233 hrs agoWorld",N/A,https://www.bbc.com/news/articles/cgqgl88w155o
"Watch: Key moments from Hillary Clinton's Epstein depositionThe BBC's North America correspondent Nada Tawfik, reporting from Chappaqua, New York, explains what we know about Clinton's closed-door testimony.1 hr agoUS & Canada",N/A,https://www.bbc.com/news/videos/cjd90l5en59o
